date,city,new_cases_town,total_cases,population,county,as_of
2020-06-18,Abington,0,233,18224,Plymouth,2020-06-24
2020-06-25,Abington,2,235,18224,Plymouth,2020-07-01
2020-07-02,Abington,0,235,18224,Plymouth,2020-07-08
2020-07-09,Abington,3,238,18224,Plymouth,2020-07-15
2020-07-16,Abington,1,239,18224,Plymouth,2020-07-22
2020-07-23,Abington,4,243,18224,Plymouth,2020-07-29
2020-07-30,Abington,5,248,18224,Plymouth,2020-08-05
2020-08-06,Abington,1,249,18224,Plymouth,2020-08-12
2020-08-13,Abington,3,252,18224,Plymouth,2020-08-19
2020-08-20,Abington,5,257,18224,Plymouth,2020-08-26
2020-08-27,Abington,10,267,18224,Plymouth,2020-09-02
2020-09-03,Abington,2,269,18224,Plymouth,2020-09-09
2020-09-10,Abington,7,276,18224,Plymouth,2020-09-16
2020-09-17,Abington,3,279,18224,Plymouth,2020-09-23
2020-09-24,Abington,6,285,18224,Plymouth,2020-09-30
2020-10-01,Abington,9,294,18224,Plymouth,2020-10-07
2020-10-08,Abington,20,314,18224,Plymouth,2020-10-14
2020-10-16,Abington,9,323,18224,Plymouth,2020-10-22
2020-10-23,Abington,20,343,18224,Plymouth,2020-10-29
2020-10-31,Abington,15,358,18224,Plymouth,2020-11-06
2020-11-05,Abington,25,383,18224,Plymouth,2020-11-11
2020-11-13,Abington,35,418,18224,Plymouth,2020-11-19
2020-11-21,Abington,21,439,18224,Plymouth,2020-11-27
2020-11-27,Abington,43,482,18224,Plymouth,2020-12-03
2020-12-04,Abington,86,568,18224,Plymouth,2020-12-10
2020-12-11,Abington,100,668,18224,Plymouth,2020-12-17
2020-12-18,Abington,104,772,18224,Plymouth,2020-12-24
2020-12-25,Abington,89,861,18224,Plymouth,2020-12-31
2021-01-01,Abington,106,967,18224,Plymouth,2021-01-07
2021-01-08,Abington,106,1073,18224,Plymouth,2021-01-14
2021-01-15,Abington,80,1153,18224,Plymouth,2021-01-21
2020-06-18,Acton,0,157,23728,Middlesex,2020-06-24
2020-06-25,Acton,2,159,23728,Middlesex,2020-07-01
2020-07-02,Acton,3,162,23728,Middlesex,2020-07-08
2020-07-09,Acton,5,167,23728,Middlesex,2020-07-15
2020-07-16,Acton,2,169,23728,Middlesex,2020-07-22
2020-07-23,Acton,3,172,23728,Middlesex,2020-07-29
2020-07-30,Acton,2,174,23728,Middlesex,2020-08-05
2020-08-06,Acton,2,176,23728,Middlesex,2020-08-12
2020-08-13,Acton,3,179,23728,Middlesex,2020-08-19
2020-08-20,Acton,8,187,23728,Middlesex,2020-08-26
2020-08-27,Acton,5,192,23728,Middlesex,2020-09-02
2020-09-03,Acton,-1,191,23728,Middlesex,2020-09-09
2020-09-10,Acton,2,193,23728,Middlesex,2020-09-16
2020-09-17,Acton,2,195,23728,Middlesex,2020-09-23
2020-09-24,Acton,4,199,23728,Middlesex,2020-09-30
2020-10-01,Acton,4,203,23728,Middlesex,2020-10-07
2020-10-08,Acton,5,208,23728,Middlesex,2020-10-14
2020-10-16,Acton,3,211,23728,Middlesex,2020-10-22
2020-10-23,Acton,9,220,23728,Middlesex,2020-10-29
2020-10-31,Acton,7,227,23728,Middlesex,2020-11-06
2020-11-05,Acton,20,247,23728,Middlesex,2020-11-11
2020-11-13,Acton,16,263,23728,Middlesex,2020-11-19
2020-11-21,Acton,42,305,23728,Middlesex,2020-11-27
2020-11-27,Acton,32,337,23728,Middlesex,2020-12-03
2020-12-04,Acton,42,379,23728,Middlesex,2020-12-10
2020-12-11,Acton,45,424,23728,Middlesex,2020-12-17
2020-12-18,Acton,44,468,23728,Middlesex,2020-12-24
2020-12-25,Acton,41,509,23728,Middlesex,2020-12-31
2021-01-01,Acton,39,548,23728,Middlesex,2021-01-07
2021-01-08,Acton,48,596,23728,Middlesex,2021-01-14
2021-01-15,Acton,42,638,23728,Middlesex,2021-01-21
2020-06-18,Acushnet,0,88,10449,Bristol,2020-06-24
2020-06-25,Acushnet,4,92,10449,Bristol,2020-07-01
2020-07-02,Acushnet,1,93,10449,Bristol,2020-07-08
2020-07-09,Acushnet,4,97,10449,Bristol,2020-07-15
2020-07-16,Acushnet,2,99,10449,Bristol,2020-07-22
2020-07-23,Acushnet,3,102,10449,Bristol,2020-07-29
2020-07-30,Acushnet,1,103,10449,Bristol,2020-08-05
2020-08-06,Acushnet,0,103,10449,Bristol,2020-08-12
2020-08-13,Acushnet,3,106,10449,Bristol,2020-08-19
2020-08-20,Acushnet,1,107,10449,Bristol,2020-08-26
2020-08-27,Acushnet,1,108,10449,Bristol,2020-09-02
2020-09-03,Acushnet,1,109,10449,Bristol,2020-09-09
2020-09-10,Acushnet,3,112,10449,Bristol,2020-09-16
2020-09-17,Acushnet,4,116,10449,Bristol,2020-09-23
2020-09-24,Acushnet,7,123,10449,Bristol,2020-09-30
2020-10-01,Acushnet,11,134,10449,Bristol,2020-10-07
2020-10-08,Acushnet,9,143,10449,Bristol,2020-10-14
2020-10-16,Acushnet,15,158,10449,Bristol,2020-10-22
2020-10-23,Acushnet,26,184,10449,Bristol,2020-10-29
2020-10-31,Acushnet,24,208,10449,Bristol,2020-11-06
2020-11-05,Acushnet,26,234,10449,Bristol,2020-11-11
2020-11-13,Acushnet,22,256,10449,Bristol,2020-11-19
2020-11-21,Acushnet,26,282,10449,Bristol,2020-11-27
2020-11-27,Acushnet,29,311,10449,Bristol,2020-12-03
2020-12-04,Acushnet,64,375,10449,Bristol,2020-12-10
2020-12-11,Acushnet,84,459,10449,Bristol,2020-12-17
2020-12-18,Acushnet,50,509,10449,Bristol,2020-12-24
2020-12-25,Acushnet,65,574,10449,Bristol,2020-12-31
2021-01-01,Acushnet,90,664,10449,Bristol,2021-01-07
2021-01-08,Acushnet,144,808,10449,Bristol,2021-01-14
2021-01-15,Acushnet,105,913,10449,Bristol,2021-01-21
2020-06-18,Adams,0,35,8227,Berkshire,2020-06-24
2020-06-25,Adams,0,35,8227,Berkshire,2020-07-01
2020-07-02,Adams,0,35,8227,Berkshire,2020-07-08
2020-07-09,Adams,0,35,8227,Berkshire,2020-07-15
2020-07-16,Adams,0,35,8227,Berkshire,2020-07-22
2020-07-23,Adams,0,35,8227,Berkshire,2020-07-29
2020-07-30,Adams,0,35,8227,Berkshire,2020-08-05
2020-08-06,Adams,0,35,8227,Berkshire,2020-08-12
2020-08-13,Adams,0,35,8227,Berkshire,2020-08-19
2020-08-20,Adams,2,37,8227,Berkshire,2020-08-26
2020-08-27,Adams,3,40,8227,Berkshire,2020-09-02
2020-09-03,Adams,-1,39,8227,Berkshire,2020-09-09
2020-09-10,Adams,4,43,8227,Berkshire,2020-09-16
2020-09-17,Adams,0,43,8227,Berkshire,2020-09-23
2020-09-24,Adams,3,46,8227,Berkshire,2020-09-30
2020-10-01,Adams,0,46,8227,Berkshire,2020-10-07
