location_resolution,state,local_area,relaxing_or_restricting,policy_category,policy_subcategory,policy_subtarget,policy_description,date_issued,date_start,date_end_anticipated,date_end,intended_duration
Local,Alabama,"Montgomery (city), AL",Restricting,Social distancing,Public service closures,General population (inclusive); Public sector/government employees; Government/public buildings,The City of Montgomery closes access for the public to municipal facilities. All City employees continue report to work as usual.,2020-03-16,2020-03-16,Unspecified,Unspecified,
Local,Alaska,"Juneau City and Borough, AK",Restricting,Social distancing,Quarantine,Suspected cases; Hospitals/urgent care/emergency medical services,"The Capital City Fire/Rescue in partnership Bartlett Regional Hospital initiates a temporary “quarantine at home” protocol for certain 911 transports. When 911 is called to request an ambulance, one will be dispatched. In compliance with CDC guidelines, a trained medical professional will evaluate the situation and provide immediate care as necessary. If the professional suspects a case of COVID-19, they may recommend an at-home quarantine.",2020-03-23,2020-03-23,Unspecified,Unspecified,
Local,Alaska,"Juneau City and Borough, AK",Restricting,Social distancing,Public service closures,General population (inclusive); Government/public buildings,The Juneau Police Department institutes social distancing measures that include restricting public access to municiple police facilities.,2020-03-23,2020-03-23,Unspecified,Unspecified,
Local,Arizona,"Phoenix (city), AZ",Restricting,Social distancing,Public service closures,General population (inclusive); Indoor recreation/sports facility ; Childcare facilities (preschool or other daycare); Government/public buildings; Outdoor recreation or space,"Effective 03/16/2020 all indoor City of Phoenix recreation activities were closed. All classes and programs, such as sports leagues, were suspended. Gatherings and events in city parks were closed. Several museums are closed.  After-school care and partnered programs were also canceled.",2020-03-16,2020-03-16,Unspecified,Unspecified,
Local,Arizona,"Phoenix (city), AZ",Restricting,Social distancing,Public service closures,General population (inclusive); Government/public buildings; Public transportation,"The City of Phoenix closes access of public to the following municipal buildings beginning on 03/23/2020 to appointment-only access. The affected municipal buildings are Phoenix City Hall, Calvin C. Goode Building and Phoenix Public Transit Building. Additionally, customer service windows at four local transit centers are closed until further notice.",2020-03-22,2020-03-23,Unspecified,Unspecified,
Local,Arizona,"Phoenix (city), AZ",Restricting,Social distancing,Public service closures,Older adults/individuals with underlying medical conditions; Nursing homes/assisted living facility,All senior centers in the City of Phoenix are closed. The City of Phoenix Retiree's Nationwide office is currently closed. The Office of Youth and Education has closed AARP literary program.,2020-03-24,2020-03-24,Unspecified,Unspecified,
Local,Arizona,"Phoenix (city), AZ",Restricting,Social distancing,Public service closures,General population (inclusive); Government/public buildings; Outdoor recreation or space; Public transportation; Housing sector,The City of Phoenix lists 27 facilities and services that have been limited or closed due to social distancing measures.,2020-03-24,2020-03-24,Unspecified,Unspecified,
Local,Arizona,"Pima County, AZ",Restricting,Social distancing,Other forms of social distancing,General population (inclusive),Pima County will provide a public website available via www.pima.gov through which any person may file a written complaint alleging noncompliance with this Resolution at any establishment that is open to the public. The Pima County Health Department will investigate complaints and take enforcement action where appropriate.,2020-12-04,2020-12-04,Unspecified,Unspecified,
Local,Arizona,"Pima County, AZ",Restricting,Social distancing,Curfews,General population (inclusive),Implements a curfew between 10pm and 5am.,2020-12-15,2020-12-15,Unspecified,Unspecified,
Local,Arizona,"Tucson (city), AZ",Other,Social distancing,Other forms of social distancing,Public sector/government employees; Government/public buildings,Implements measures to allow people to postpone their City Court appearances.,2020-03-16,2020-03-16,Unspecified,Unspecified,
