state,local_area,Latitude,Longitude,county
Alabama,"Montgomery (city), AL",32.3792458,-86.3078353,1
Alaska,"Juneau City and Borough, AK",58.3019444,-134.4197221,1
Arizona,"Phoenix (city), AZ",33.4483771,-112.0740373,1
Arizona,"Pima County, AZ",32.057499,-111.6660725,1
Arizona,"Tucson (city), AZ",32.2226066,-110.9747108,1
Arkansas,"Little Rock (city), AR",34.7490099,-92.2755896,1
California,"Alameda County, CA",37.6016892,-121.7195459,1
California,"Alpine County, CA",38.5940736,-119.8815203,1
California,"Amador County, CA",38.3488921,-120.7740931,1
California,"Butte County, CA",39.6253952,-121.5370003,1
California,"Calaveras County, CA",38.1960477,-120.6805037,1
California,"Colusa County, CA",39.1040645,-122.2653887,1
California,"Contra Costa County, CA",37.8534093,-121.9017954,1
California,"Del Norte County, CA",41.7076287,-123.9659708,1
California,"Fairfax City, VA",38.8462236,-77.3063733,1
California,"Fresno (city), CA",36.7377981,-119.7871247,1
California,"Fresno County, CA",36.9858984,-119.2320784,1
California,"Glenn County, CA",39.6437813,-122.4467238,1
California,"Imperial County, CA",33.0113694,-115.4733554,1
California,"Inyo County, CA",36.3091865,-117.5495846,1
California,"Kern County, CA",35.4937274,-118.8596804,1
California,"Kings County, CA",36.0988489,-119.8815203,1
California,"Lake County, CA",39.0839644,-122.8084496,1
California,"Los Angeles (city), CA",34.0537136,-118.2426533,1
California,"Los Angeles County, CA",34.0522265,-118.2436596,1
California,"Madera County, CA",37.251926,-119.6962677,1
California,"Marin County, CA",38.083403,-122.7633036,1
California,"Mariposa County, CA",37.4893626,-119.9679294,1
California,"Mendocino County, CA",39.5500194,-123.438353,1
California,"Merced County, CA",37.2009788,-120.7120023,1
California,"Mono County, CA",37.9218608,-118.9528645,1
California,Monterey County,36.3136201,-121.3541631,1
California,"Napa County, CA",38.5024689,-122.2653887,1
California,"Nevada County, CA",39.1346666,-121.1710389,1
California,"Oakland (city), CA",37.8043514,-122.2711639,1
California,"Orange County, CA",33.7174708,-117.8311428,1
California,"Plumas County, CA",39.9926832,-120.8039474,1
California,"Sacramento County, CA",38.47467,-121.3541631,1
California,"San Benito County, CA",36.5760883,-120.9876321,1
California,"San Bernardino County, CA",34.9592083,-116.419389,1
California,"San Diego (city), CA",32.715738,-117.1610838,1
California,"San Diego County, CA",32.7157305,-117.1610966,1
California,"San Francisco (city), CA",37.7749295,-122.4194155,1
California,"San Joaquin County, CA",37.9175935,-121.1710389,1
California,"San Luis Obispo County, CA",35.3102296,-120.4357631,1
California,"San Mateo County, CA",37.4337342,-122.4014193,1
California,"Santa Ana (city), CA",33.7498844,-117.8732101,1
California,"Santa Barbara County, CA",34.4208321,-119.6982057,1
California,"Santa Clara County, CA",37.3336581,-121.8907041,1
California,"Santa Cruz County, CA",37.0453988,-121.9579578,1
California,"Solano County, CA",38.3104969,-121.9017954,1
California,"Sonoma County, CA",38.5779555,-122.9888319,1
California,"Stanislaus County, CA",37.5090711,-120.9876321,1
California,"Sutter County, CA",39.0219764,-121.6739371,1
California,"Trinity County, CA",40.6329485,-123.0622553,1
California,"Tulare County, CA",36.1341739,-118.8596804,1
California,"Tuolumne County, CA",38.029655,-119.9740534,1
California,"Ventura County, CA",34.3704884,-119.1390642,1
California,"Yolo County, CA",38.7646021,-121.9017954,1
California,"Yuba County, CA",39.2547027,-121.3998995,1
Colorado,"Denver County, CO",39.7392358,-104.990251,1
Connecticut,"Hartford (city), CT",41.7658043,-72.6733723,1
Delaware,"Dover (city), DE",39.158168,-75.5243682,1
Florida,"Alachua County, FL",29.6579549,-82.3017728,1
Florida,"Broward County, FL",26.190096,-80.365865,1
