date,week,college,ipeds_id,total_tests,positive_tests,cumulative_cases,cumulative_tests,total_tests_per_1000_enrollment,positive_tests_per_1000_enrollment,cumulative_cases_per_1000_enrollment,cumulative_tests_per_1000_enrollment,enrollment_total,enrollment_fulltime,institution_size_bin,endowment_per_fte,percent_admitted,testing_approach,status,urban_rural_designation,fips,city,state,county,county_population,cases_county,deaths_county,new_cases_county,new_deaths_county,new_cases_per_1000_county,new_deaths_per_1000_county,cases_per_1000_county,deaths_per_1000_county
2020-08-01,29,Amherst College,164465,0,0,27.0,54788.0,0.0,0.0,14.555256064690028,29535.309973045823,1855,1855,"1,000 - 4,999",1223642.0,11.0,regular testing,primarily online,Medium metro,25015,Amherst,Massachusetts,Hampshire,160830,1132,127,6,0,0.03730647267300877,0.0,7.038487844307654,0.7896536715786855
2020-08-02,29,Amherst College,164465,0,0,27.0,54788.0,0.0,0.0,14.555256064690028,29535.309973045823,1855,1855,"1,000 - 4,999",1223642.0,11.0,regular testing,primarily online,Medium metro,25015,Amherst,Massachusetts,Hampshire,160830,1136,127,4,0,0.024870981782005846,0.0,7.06335882608966,0.7896536715786855
2020-08-03,30,Amherst College,164465,127,0,27.0,54788.0,68.46361185983828,0.0,14.555256064690028,29535.309973045823,1855,1855,"1,000 - 4,999",1223642.0,11.0,regular testing,primarily online,Medium metro,25015,Amherst,Massachusetts,Hampshire,160830,1139,127,3,0,0.018653236336504384,0.0,7.082012062426164,0.7896536715786855
2020-08-04,30,Amherst College,164465,118,0,27.0,54788.0,63.61185983827493,0.0,14.555256064690028,29535.309973045823,1855,1855,"1,000 - 4,999",1223642.0,11.0,regular testing,primarily online,Medium metro,25015,Amherst,Massachusetts,Hampshire,160830,1145,127,6,0,0.03730647267300877,0.0,7.119318535099173,0.7896536715786855
2020-08-05,30,Amherst College,164465,115,0,27.0,54788.0,61.99460916442048,0.0,14.555256064690028,29535.309973045823,1855,1855,"1,000 - 4,999",1223642.0,11.0,regular testing,primarily online,Medium metro,25015,Amherst,Massachusetts,Hampshire,160830,1150,127,5,0,0.031088727227507305,0.0,7.150407262326681,0.7896536715786855
2020-08-06,30,Amherst College,164465,85,0,27.0,54788.0,45.82210242587601,0.0,14.555256064690028,29535.309973045823,1855,1855,"1,000 - 4,999",1223642.0,11.0,regular testing,primarily online,Medium metro,25015,Amherst,Massachusetts,Hampshire,160830,1158,128,8,1,0.04974196356401169,0.0062177454455014615,7.200149225890692,0.7958714170241871
2020-08-07,30,Amherst College,164465,42,0,27.0,54788.0,22.641509433962263,0.0,14.555256064690028,29535.309973045823,1855,1855,"1,000 - 4,999",1223642.0,11.0,regular testing,primarily online,Medium metro,25015,Amherst,Massachusetts,Hampshire,160830,1162,129,4,1,0.024870981782005846,0.0062177454455014615,7.225020207672698,0.8020891624696885
2020-08-08,30,Amherst College,164465,0,0,27.0,54788.0,0.0,0.0,14.555256064690028,29535.309973045823,1855,1855,"1,000 - 4,999",1223642.0,11.0,regular testing,primarily online,Medium metro,25015,Amherst,Massachusetts,Hampshire,160830,1170,129,8,0,0.04974196356401169,0.0,7.274762171236709,0.8020891624696885
2020-08-09,30,Amherst College,164465,0,0,27.0,54788.0,0.0,0.0,14.555256064690028,29535.309973045823,1855,1855,"1,000 - 4,999",1223642.0,11.0,regular testing,primarily online,Medium metro,25015,Amherst,Massachusetts,Hampshire,160830,1174,129,4,0,0.024870981782005846,0.0,7.299633153018716,0.8020891624696885
2020-08-10,31,Amherst College,164465,169,0,27.0,54788.0,91.10512129380054,0.0,14.555256064690028,29535.309973045823,1855,1855,"1,000 - 4,999",1223642.0,11.0,regular testing,primarily online,Medium metro,25015,Amherst,Massachusetts,Hampshire,160830,1179,129,5,0,0.031088727227507305,0.0,7.330721880246222,0.8020891624696885
