college,ipeds_id,enrollment_total,enrollment_fulltime,institution_size_bin,endowment_per_fte,percent_admitted,testing_approach,status,url,urban_rural_designation,fips,city,state,county,county_population
Amherst College,164465,1855,1855,"1,000 - 4,999",1223642.0,11.0,regular testing,primarily online,https://www.amherst.edu/news/covid-19/dashboard,Medium metro,25015,Amherst,Massachusetts,Hampshire,160830
Anna Maria College,164492,1461,1012,"1,000 - 4,999",4301.0,74.0,regular testing,primarily in person,http://annamaria.edu/covid-19-important-dates-safety-protocols/,Medium metro,25027,Paxton,Massachusetts,Worcester,830662
Assumption College,164562,2428,2110,"1,000 - 4,999",43690.0,81.0,regular testing,primarily online,https://www.assumption.edu/people-and-departments/organization-listing/office-president/responding-covid-19-coronavirus,Medium metro,25027,Worcester,Massachusetts,Worcester,830662
Babson College,164580,3357,2905,"1,000 - 4,999",113786.0,26.0,surveillance,hybrid,https://www.babson.edu/emergency-preparedness/return-to-campus/covid-dashboard/,Large fringe metro,25021,Wellesley,Massachusetts,Norfolk,706775
Bard College at Simon's Rock,167792,450,372,,,,regular testing,primarily in person,https://simons-rock.edu/early-college/community-messages/covid-19/covid19-dashboard.php,Small metro,25003,Great Barrington,Massachusetts,Berkshire,124944
Bay Path University,164632,3444,1955,"1,000 - 4,999",16390.0,72.0,regular testing,primarily online,https://www.baypath.edu/about/the-path-forward/covid-19-dashboard/,Medium metro,25013,Longmeadow,Massachusetts,Hampden,466372
Bentley University,164739,5460,4879,"5,000 - 9,999",58398.0,47.0,regular testing,hybrid,https://www.bentley.edu/backtobentley/dashboard,Large fringe metro,25017,Waltham,Massachusetts,Middlesex,1611699
Boston College,164924,14720,13165,"10,000 - 19,999",192521.0,27.0,surveillance,primarily in person,https://www.bc.edu/bc-web/sites/reopening-boston-college.html,Large fringe metro,25017,Chestnut Hill,Massachusetts,Middlesex,1611699
Boston University,164988,34657,28287,"20,000 and above",66757.0,19.0,regular testing,hybrid,https://www.bu.edu/healthway/community-dashboard/,Large central metro,25025,Boston,Massachusetts,Suffolk,803907
Brandeis University,165015,5800,5267,"5,000 - 9,999",154905.0,30.0,regular testing,hybrid,https://www.brandeis.edu/covid-19/dashboard.html,Large fringe metro,25017,Waltham,Massachusetts,Middlesex,1611699
Bridgewater State University,165024,10990,8344,"10,000 - 19,999",5372.0,88.0,regular testing,hybrid,https://www.bridgew.edu/covid-19/dashboard,Large fringe metro,25023,Bridgewater,Massachusetts,Plymouth,521202
Clark University,165334,3122,2944,"1,000 - 4,999",140563.0,53.0,regular testing,hybrid,https://www.clarku.edu/healthy-clark-dashboard/,Medium metro,25027,Worcester,Massachusetts,Worcester,830662
College of Our Lady of the Elms,167394,1531,1112,"1,000 - 4,999",6484.0,75.0,at risk,primarily online,https://www.elms.edu/student-life/health-center/covid-results/,Medium metro,25013,Chicopee,Massachusetts,Hampden,466372
College of the Holy Cross,166124,2939,2913,"1,000 - 4,999",257634.0,34.0,regular testing,primarily online,https://www.holycross.edu/2019-novel-coronavirus-covid-19-information,Medium metro,25027,Worcester,Massachusetts,Worcester,830662
Curry College,165529,2580,2045,"1,000 - 4,999",39127.0,87.0,surveillance,primarily in person,https://www.curry.edu/student-life/health-and-wellness/health-services/coronavirus-(covid-19)-information,Large fringe metro,25021,Milton,Massachusetts,Norfolk,706775
Eastern Nazarene College,165644,848,677,"Under 1,000",26100.0,59.0,surveillance,hybrid,https://enc.edu/covid-19-resources/,Large fringe metro,25021,Quincy,Massachusetts,Norfolk,706775
Emerson College,165662,4573,4407,"1,000 - 4,999",36674.0,33.0,surveillance,hybrid,https://www.emerson.edu/one-emerson/dashboard,Large central metro,25025,Boston,Massachusetts,Suffolk,803907
Emmanuel College,165671,2209,1942,"1,000 - 4,999",65386.0,78.0,no clear plan,primarily in person,https://www.emmanuel.edu/forward.html,Large central metro,25025,Boston,Massachusetts,Suffolk,803907
Endicott College,165699,4794,3389,"1,000 - 4,999",20609.0,69.0,surveillance,primarily in person,https://www.endicott.edu/news-events/returning-to-campus/testing-data,Large fringe metro,25009,Beverly,Massachusetts,Essex,789034
Fitchburg State University,165820,7199,3695,"5,000 - 9,999",2791.0,88.0,regular testing,primarily in person,https://www.fitchburgstate.edu/offices-services-directory/health-services/coronavirus-information,Medium metro,25027,Fitchburg,Massachusetts,Worcester,830662
Framingham State University,165866,5565,3580,"5,000 - 9,999",8065.0,74.0,surveillance,primarily online,https://www.framingham.edu/about-fsu/news-and-events/fsu-covid-19-data.html,Large fringe metro,25017,Framingham,Massachusetts,Middlesex,1611699
Franklin W Olin College of Engineering,441982,390,345,"Under 1,000",1091077.0,16.0,regular testing,hybrid,https://www.olin.edu/olin-ahead/returning-to-campus/testing-dashboard/,Large fringe metro,25021,Needham,Massachusetts,Norfolk,706775
Hampshire College,166018,1191,1191,"Under 1,000",47598.0,2.0,regular testing,hybrid,https://www.hampshire.edu/news/2020/08/21/covid-19-testing-program,Medium metro,25015,Amherst,Massachusetts,Hampshire,160830
Harvard University,166027,31566,21006,"20,000 and above",1422130.0,5.0,regular testing,hybrid,https://www.harvard.edu/coronavirus/harvard-university-wide-covid-19-testing-dashboard,Large fringe metro,25017,Cambridge,Massachusetts,Middlesex,1611699
Lasell University,166391,2060,1662,"1,000 - 4,999",20862.0,84.0,regular testing,primarily in person,https://www.lasell.edu/admissions/covid-19-information/covid-19-dashboard.html,Large fringe metro,25017,Newton,Massachusetts,Middlesex,1611699
MCPHS University,166656,7064,6144,"5,000 - 9,999",131055.0,85.0,regular testing,hybrid,https://www.mcphs.edu/covid,Large central metro,25025,Boston,Massachusetts,Suffolk,803907
Massachusetts College of Art and Design,166674,2087,1739,"1,000 - 4,999",9485.0,58.0,regular testing,hybrid,https://massart.edu/covid-19-campus-dashboard,Large central metro,25025,Boston,Massachusetts,Suffolk,803907
Massachusetts College of Liberal Arts,167288,1452,1121,"1,000 - 4,999",8556.0,82.0,surveillance,hybrid,https://www.mcla.edu/student-services/health-services/coronavirus.php,Small metro,25003,North Adams,Massachusetts,Berkshire,124944
Massachusetts Institute of Technology,166683,11574,11402,"10,000 - 19,999",1454419.0,7.0,regular testing,hybrid,https://covidapps.mit.edu/dashboard,Large fringe metro,25017,Cambridge,Massachusetts,Middlesex,1611699
Massachusetts Maritime Academy,166692,1802,1707,"1,000 - 4,999",10982.0,91.0,at risk,primarily in person,https://www.maritime.edu/covid-19-dashboard,Small metro,25001,Buzzards Bay,Massachusetts,Barnstable,212990
Merrimack College,166850,4643,3966,"5,000 - 9,999",13621.0,82.0,regular testing,hybrid,https://www.merrimack.edu/covid-19/,Large fringe metro,25009,North Andover,Massachusetts,Essex,789034
Montserrat College of Art,166911,400,370,,,,at risk,hybrid,https://www.montserrat.edu/covid-19-dashboard/,Large fringe metro,25009,Beverly,Massachusetts,Essex,789034
Mount Holyoke College,166939,2335,2193,"1,000 - 4,999",334799.0,38.0,regular testing,fully online,https://www.mtholyoke.edu/coronavirus/covid-19-dashboard,Medium metro,25015,South Hadley,Massachusetts,Hampshire,160830
Nichols College,167260,1592,1249,"1,000 - 4,999",10368.0,80.0,regular testing,primarily in person,https://covid19.nichols.edu/,Medium metro,25027,Dudley,Massachusetts,Worcester,830662
