location_resolution,state,relaxing_or_restricting,policy_category,policy_subcategory,policy_subtarget,policy_description,date_issued,date_start,date_end_anticipated,date_end,intended_duration
state,Arizona,Other,Contact tracing/Testing,Contact tracing,General population (inclusive),Directs the AZDHS to implement a statewide contact tracing and case investigation system.,2020-06-17,2020-06-18,Unspecified,Unspecified,Until further notice with consideration for revision or repeal every 2 weeks
state,Arkansas,Other,Contact tracing/Testing,Testing,Hospitals/urgent care/emergency medical services; Medical offices (doctor/dentist/physical therapist),Requires that all molecular devices and assays used in point of care settings be approved by the Secretary of Health before use.,2020-04-16,2020-04-16,Unspecified,Unspecified,
state,Arkansas,Restricting,Contact tracing/Testing,Testing,Public sector/government employees; Medical offices (doctor/dentist/physical therapist); Manufacturers,"Prohibits the use of SARS-CoV-2 serologic tests that have not been FDA approved through the EUA process or that have not received written approval by the Secretary of Health. Prohibits the use of all serologic assays, including rapid point of care devices, outside of CLIA-certified laboratories or settings.",2020-05-08,2020-05-08,Unspecified,Unspecified,
state,California,Restricting,Contact tracing/Testing,Contact tracing,General population (inclusive),"Announcement that the State of California will in partnership with Apple and Google,  participate in a Exposure Notification Technology pilot program, which will confidentially notify product users if they may have been exposed to COVID-19.",2020-09-11,2020-09-11,Unspecified,Unspecified,
state,Connecticut,Other,Contact tracing/Testing,Testing,Essential business (inclusive); Essential workers (inclusive); Nursing homes/assisted living facility; Hospitals/urgent care/emergency medical services,"Executive Order No. 7UU, is repealed and replaced with the following: There shall be a program of mandatory testing for COVID-19 of the staff of private and municipal nursing home facilities, managed residential communities, and assisted living services agencies as detailed.",2020-06-17,2020-06-17,2021-02-09,Unspecified,
state,Connecticut,Other,Contact tracing/Testing,Contact tracing,Travelers,All Affected Travelers shall complete a Travel Health Form.,2020-09-15,2020-09-15,2021-02-09,Unspecified,
state,Delaware,Relaxing,Contact tracing/Testing,Contact tracing,Childcare facilities (preschool or other daycare); Primary education; Secondary education,Local Education Agencies must notify parents/guardians and students aged 18 and up if the school becomes aware that a person who tested positive was in the school building at the same time as students.,2020-08-26,2020-08-26,Unspecified,Unspecified,
state,Delaware,Other,Contact tracing/Testing,Contact tracing,Restaurants/bars,"Food and drink establishments  are required to notify patrons that they may provide their name and contact information to the establishment, so that they may be contacted if another patron or employee has tested positive for COVID-19.  Logistical and structural changes must be employed to facilitate social distancing within the food and drink establishment.",2020-09-03,2020-09-03,Unspecified,Unspecified,
state,Delaware,Other,Contact tracing/Testing,Contact tracing,Primary education; Secondary education,Local Education Agencies must notify parents/guardians and students aged 18 and up if the school becomes aware that a person who tested positive was in the school building at the same time as students.,2020-09-03,2020-09-03,Unspecified,Unspecified,
state,District of Columbia,Other,Contact tracing/Testing,Contact tracing,Public sector/government employees,"Mayor Bowser establishes the DC Contact Trace Force to hire hundreds of additional tracers at DC Health. DC Health currently has around 65 contact tracers and is in the process of increasing that team to 200 tracers. During Phase One of reopening, up to 700 additional tracers may be hired.",2020-04-23,2020-04-23,Unspecified,Unspecified,
state,District of Columbia,Other,Contact tracing/Testing,Testing,Essential workers (inclusive),"The District is expanding the criteria for priority COVID-19 testing to include essential workers with a history of exposure to a confirmed COVID-19 patient, regardless of whether they are symptomatic.",2020-04-28,2020-04-28,Unspecified,Unspecified,
